Name,Season,Yards,TD,FMB,Score,Seasons
A.B. Brown,1989,-42.98405137760794,-0.12428905227396136,0.9562474913785965,-4.310275656185514,4
A.D. Whitfield,1965,108.51337002296506,-3.816162507901451,-2.0921315833958993,1.9776066521371503,4
A.J. Brown,2019,48.39561415272478,0.8301393762389554,0.8063649224828047,2.467329615148541,2
A.J. Feeley,2002,-104.9937019266172,-0.10352541089049253,15.349494470732948,-36.155724859577745,5
A.J. Green,2011,46.1578803030476,-0.3138652712596143,5.56784964605442,-9.455535819475688,3
A.J. Jenkins,2013,-12.659372949740915,-0.11463922750503819,0.8523742355724016,-2.566995573641925,2
A.J. Jones,1985,-2.10450278674098,-0.032487533000880024,-0.05258140217072455,-0.06503740099735995,1
A.J. McCarron,2015,-24.675368825442472,0.3549452866181524,1.1538610159146565,-2.831599899865132,3
A.J. Schable,2006,0.8428156146179404,-0.029346622369878183,-0.042566445182724254,0.06858042635658917,1
AJ Cole III,2020,-4.413283062645012,-0.03857308584686775,0.9658497679814385,-2.229509860788863,1
AJ Dillon,2020,33.11365999875457,-1.2902661785840124,-6.48680110271652,12.048752848202746,2
Aaron Bailey,1995,38.13492702170852,-0.11362635443589768,1.8152750452746909,-1.9510564483357509,2
Aaron Brooks,2000,44.343000350226006,2.349359104976454,47.40062311772844,-87.88537800799268,7
Aaron Brown,2009,-1.3589455435330793,-1.3381043149566625,-1.852349189273214,0.9605424714564492,3
Aaron Craver,1991,13.78949461308273,3.1883760296473156,-3.011449404922179,13.089125599793126,8
Aaron Hayden,1995,-58.096258314713666,-2.1072044963288388,-8.940241437252347,10.761260966111331,3
Aaron Hernandez,2010,58.64195648740544,-0.25794218224954424,0.6427627085909482,1.1306880426892871,3
Aaron Jones,2017,599.2026115665735,12.7705773951301,-22.748379234550754,100.9980438376904,5
Aaron Marsh,1968,-7.881098252779669,-0.1234399818470615,-0.17608350351713184,-0.28876786929884274,1
Aaron Pierce,1995,-0.7787823213387162,0.9440546045174442,-0.09184159062255029,2.0328532742130534,2
Aaron Ripkowski,2016,0.24398220466922993,0.7310876307059513,-1.4963166547136013,4.467007681072567,2
Aaron Rodgers,2005,467.52850808857113,12.811131037753212,57.403998753110024,-65.80931002628508,17
